Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs Issued,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon Dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
1. Solid Waste Services - Lucas Heights,Cleanaway Waste Management Limited,NSW,"Waste treatment, disposal and remediation services (292)",0.951,"327,658 ","112,867 ", -   , -   , -   , -   , -   ," 112,867 ","-214,791 ", -   , - ,-," 3,000 "," 109,858 ", 9 , -   ,The facility is covered by a landfill baseline. 
1. Solid Waste Services - MRL,Cleanaway Waste Management Limited,VIC,"Waste treatment, disposal and remediation services (292)",0.951,"350,747 ","162,282 ", -   ," 179,472 ", -   , -   , -   ," 341,754 ","-8,993 ", -   , - ,-," 7,364 "," 154,859 ", 59 , -   ,The facility is covered by a landfill baseline. 
Angaston Operations,ADBRI LIMITED,SA,"Cement, lime, plaster and concrete product manufacturing (203)",0.99,"103,873 ","112,841 ", -   , -   , -   , -   ," 8,968 "," 103,873 ", -   , -   , - ,-," 112,730 ", 76 , 35 , -   ,-
APLNG Facility,CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,QLD,Oil and gas extraction (070),0.951,"2,034,870 ","2,120,644 ", -   , -   , -   , -   ," 85,774 "," 2,034,870 ", -   , -   , - ,-," 2,084,631 "," 33,993 "," 1,948 ", 72 ,-
APN01 Appin Colliery - ICH Facility,ENDEAVOUR COAL PTY LIMITED,NSW,Coal mining (060),0.951,"2,154,439 ","1,833,982 ", -   , -   , -   , -   , -   ," 1,833,982 ","-320,457 "," 320,457 ", - ,-," 102,569 "," 1,731,355 ", 18 , 40 ,-
APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,WA,Oil and gas extraction (070),0.951,"108,074 ","116,569 ", -   , -   , -   ," 8,497 ", -   ," 108,072 ",-2 , -   , - ,-," 105,779 "," 10,584 ", 206 , -   ,-
ARC01 Mining Area C - MNG Facility,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.951,"694,935 ","512,387 ", -   , -   , -   , -   , -   ," 512,387 ","-182,548 ", -   , - ,-," 509,852 ", 728 ," 1,641 ", 166 ,-
Arcadia,Santos Limited,QLD,Oil and gas extraction (070),0.951,"166,220 ","108,224 ", -   , -   , -   , -   , -   ," 108,224 ","-57,996 "," 57,996 ", - ,-," 100,026 "," 7,922 ", 95 , 181 ,-
Arrow Surat Operations,Arrow Energy Holdings Pty Ltd,QLD,Oil and gas extraction (070),0.951,"193,637 ","155,650 ", -   , -   , -   , -   , -   ," 155,650 ","-37,987 "," 37,987 ", - ,-," 124,138 "," 31,362 ", 150 , -   ,-
Ashton Coal Mine (Underground),ASHTON COAL OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.951,"158,653 ","350,750 ", -   , -   , -   ," 192,097 ", -   ," 158,653 ", -   , -   , - ,-," 9,420 "," 341,315 ", 11 , 4 ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Aurizon National Transport Facility,AURIZON OPERATIONS LIMITED,National,Rail freight transport (471),0.951,"603,720 ","626,369 ", -   , -   , -   ," 22,649 ", -   ," 603,720 ", -   , -   , - ,-," 621,882 ", 927 ," 3,560 ", -   ,-
AusNet Gas Services Pty Ltd,AusNet Services Holdings Pty Ltd,VIC,Gas supply (270),0.951,"187,366 ","188,003 ", -   , -   , -   , 637 , -   ," 187,366 ", -   , -   , - ,-," 2,629 "," 185,371 ", 3 , -   ,-
Australian Gas Networks (Vic) Pty Ltd,Australian Gas Networks Holding Pty Ltd,VIC,Gas supply (270),0.951,"119,292 ","111,805 ", -   , -   , -   , -   , -   ," 111,805 ","-7,487 "," 7,487 ", - ,-," 2,154 "," 109,650 ", 1 , -   ,-
Ballera,Santos Limited,QLD,Oil and gas extraction (070),0.951,"120,065 ","153,917 ", -   , -   , -   ," 33,852 ", -   ," 120,065 ", -   , -   , - ,-," 141,395 "," 12,366 ", 155 , 1 ,-
Baralaba Coal Mine,BARALABA COAL COMPANY PTY LTD ,QLD,Coal mining (060),0.951,"142,165 ","138,324 ", -   , -   , -   , -   , -   ," 138,324 ","-3,841 "," 3,841 ", - ,-," 89,127 "," 48,941 ", 256 , -   ,-
